Event Name,Start Date,End Date,Earliest Time,Latest Time,Address,Website,Description
Rank Advancement Campout,05-02-2025,05-04-2025,10:00 AM,10:30 AM,No Location,,
"BALOO - MAY 3-4, 2025 @ ALLATOONA AQUATICS BASE, BALOO - CUB OUTDOOR LEADER TRAINING",05-03-2025,05-03-2025,7:30am,7:30am,,https://www.scoutingatl.org/baloo,
"SCOUTS BSA RANGE & TARGET DAY - BASC MAY 2025, RANGE & TARGET ACTIVITY DAYS",05-03-2025,05-03-2025,8:00am,8:00am,,https://www.scoutingatl.org/rangedays,
Roundtable meeting for leaders,05-08-2025,05-08-2025,07:30 PM,09:00 PM,"3702 Ernest W Barrett Pkwy SW, Marietta, GA 30064",,"Roundtables provide unit leaders with the skill to do and the will to do what is needed to ensure that every member of every unit has a great Scouting experience.
Network with other Silver Comet Leaders, participate in training, and get the latest information and happenings!

All leaders are welcome! The Silver Comet monthly Roundtable meeting takes place the second Thursday of every month at Cheatham Hill Community Center. We hope to see you there!"
LEADERS IN TECHNOLOGY BREAKFAST,05-08-2025,05-08-2025,7:00am,7:00am,,https://www.scoutingatl.org/tech,
"NATIONAL LIFEGUARD INSTRUCTOR COURSE, LIFEGUARD INSTRUCTOR COURSE",05-08-2025,05-08-2025,6:00pm,6:00pm,,https://www.scoutingatl.org/admin2/events/7959/33947/National-Lifeguard-Instructor-Course--Lifeguard-Instructor-Course,
"AQUAFEST, VENTURING PROGRAMS",05-10-2025,05-10-2025,10:00am,10:00am,,https://www.scoutingatl.org/Programs,
"COMMISSIONER CABINET MEETING - ZOOM MEETING, COMMISSIONER MEETINGS",05-14-2025,05-14-2025,6:00pm,6:00pm,,https://www.scoutingatl.org/commissioners,
Planning Meeting,05-16-2025,05-16-2025,06:00 PM,09:00 PM,No Location,,
"RANGEMASTER TRAINING - MAY 24 , RANGE & TARGET ACTIVITIES TRAINING",05-24-2025,05-24-2025,9:00am,9:00am,,https://www.scoutingatl.org/rangetraining,
SCOUT DAY WITH THE ATLANTA BRAVES,05-25-2025,05-25-2025,4:10pm,4:10pm,,https://www.scoutingatl.org/content/99700/Scout-Day-with-the-Atlanta-Braves,
"2025 CUB SCOUT OVERNIGHT CAMP, CUB SCOUT OVERNIGHT CAMP",05-29-2025,05-29-2025,9:00am,9:00am,,https://www.scoutingatl.org/cubovernight,
"BASC WEEK 1 - 2025, SCOUT SUMMER CAMP - BERT ADAMS",06-01-2025,06-01-2025,1:00pm,1:00pm,,https://www.scoutingatl.org/bascsummer,
"STEM ACADEMY 2025, STEM ACADEMY",06-01-2025,06-01-2025,3:00pm,3:00pm,,https://www.scoutingatl.org/stem-academy,
"WSC WEEK 1 - 2025, SCOUTS BSA SUMMER CAMP - WOODRUFF (11-17 YO)",06-01-2025,06-01-2025,1:00pm,1:00pm,,https://www.scoutingatl.org/wscsummer,
2025 Silver Comet Day Camp,06-02-2025,06-04-2025,4:00 PM,9:00 AM,"3615 Macland Rd, Powder Springs, GA 30127",https://www.silvercometdistrictbsa.org/events/2025-silver-comet-day-camp/form,Events
"WSC WEEK 2 - 2025, SCOUTS BSA SUMMER CAMP - WOODRUFF (11-17 YO)",06-08-2025,06-08-2025,12:45pm,12:45pm,,https://www.scoutingatl.org/wscsummer,
"BASC WEEK 2 - 2025, SCOUT SUMMER CAMP - BERT ADAMS",06-08-2025,06-08-2025,1:00pm,1:00pm,,https://www.scoutingatl.org/bascsummer,
Roundtable meeting for leaders,06-12-2025,06-12-2025,07:30 PM,09:00 PM,"3702 Ernest W Barrett Pkwy SW, Marietta, GA 30064",,"Roundtables provide unit leaders with the skill to do and the will to do what is needed to ensure that every member of every unit has a great Scouting experience.
Network with other Silver Comet Leaders, participate in training, and get the latest information and happenings!

All leaders are welcome! The Silver Comet monthly Roundtable meeting takes place the second Thursday of every month at Cheatham Hill Community Center. We hope to see you there!"
"WSC WEEK 3 - 2025, SCOUTS BSA SUMMER CAMP - WOODRUFF (11-17 YO)",06-15-2025,06-15-2025,12:45pm,12:45pm,,https://www.scoutingatl.org/wscsummer,
"BASC WEEK 3 - 2025, SCOUT SUMMER CAMP - BERT ADAMS",06-15-2025,06-15-2025,1:00pm,1:00pm,,https://www.scoutingatl.org/bascsummer,
"BASC WEEK 4 - 2025, SCOUT SUMMER CAMP - BERT ADAMS",06-22-2025,06-22-2025,1:00pm,1:00pm,,https://www.scoutingatl.org/bascsummer,
"WSC WEEK 4 - 2025, SCOUTS BSA SUMMER CAMP - WOODRUFF (11-17 YO)",06-22-2025,06-22-2025,12:45pm,12:45pm,,https://www.scoutingatl.org/wscsummer,
"BERT ADAMS SUPPORT SOCIETY WORKDAY JUNE 28, 2025, BASS - BERT ADAMS SUPPORT SOCIETY",06-28-2025,06-28-2025,9:00am,9:00am,,https://www.scoutingatl.org/BASS,
"WSC WEEK 5 - 2025, SCOUTS BSA SUMMER CAMP - WOODRUFF (11-17 YO)",06-29-2025,06-29-2025,12:45pm,12:45pm,,https://www.scoutingatl.org/wscsummer,
"WSC WEEK 6 - 2025, SCOUTS BSA SUMMER CAMP - WOODRUFF (11-17 YO)",07-06-2025,07-06-2025,12:45pm,12:45pm,,https://www.scoutingatl.org/wscsummer,
"QUARTERLY COMMISSIONER MEETING, COMMISSIONER MEETINGS",07-09-2025,07-09-2025,6:00pm,6:00pm,,https://www.scoutingatl.org/commissioners,
Roundtable meeting for leaders,07-10-2025,07-10-2025,07:30 PM,09:00 PM,"3702 Ernest W Barrett Pkwy SW, Marietta, GA 30064",,"Roundtables provide unit leaders with the skill to do and the will to do what is needed to ensure that every member of every unit has a great Scouting experience.
Network with other Silver Comet Leaders, participate in training, and get the latest information and happenings!

All leaders are welcome! The Silver Comet monthly Roundtable meeting takes place the second Thursday of every month at Cheatham Hill Community Center. We hope to see you there!"
"WSC WEEK 7 - 2025, SCOUTS BSA SUMMER CAMP - WOODRUFF (11-17 YO)",07-13-2025,07-13-2025,12:45pm,12:45pm,,https://www.scoutingatl.org/wscsummer,
"COUNCIL COORDINATED MEETING, COUNCIL COORDINATED MEETINGS",07-16-2025,07-16-2025,6:00pm,6:00pm,,https://www.scoutingatl.org/admin2/events/3707/33414/Council-Coordinated-Meeting--Council-Coordinated-Meetings,
SCOUT DAY WITH ATLANTA UNITED,07-19-2025,07-19-2025,7:30pm,7:30pm,,https://www.scoutingatl.org/content/97379/Scout-Day-with-Atlanta-United,
"BUTTON GWINNETT BALOO TRAINING, BALOO - CUB OUTDOOR LEADER TRAINING",07-26-2025,07-26-2025,9:00am,9:00am,,https://www.scoutingatl.org/baloo,
